sequence_id,model,cross_entropy,perplexity
seq0001,baseline,1.3802954,3.976076
seq0002,baseline,1.3886329,4.009365
seq0003,baseline,1.3869483,4.0026164
seq0004,baseline,1.3751402,3.9556313
seq0005,baseline,1.386128,3.9993343
seq0006,baseline,1.3810252,3.9789789
seq0007,baseline,1.3868663,4.0022883
seq0008,baseline,1.3942252,4.0318494
seq0009,baseline,1.3840224,3.9909222
seq0010,baseline,1.3787313,3.9698615
seq0011,baseline,1.3741001,3.9515193
seq0012,baseline,1.379279,3.972037
seq0013,baseline,1.3745568,3.953324
seq0014,baseline,1.3782363,3.9678972
seq0015,baseline,1.3923864,4.0244427
seq0016,baseline,1.386842,4.0021915
seq0017,baseline,1.3832148,3.987701
seq0018,baseline,1.3856544,3.9974413
seq0019,baseline,1.3906127,4.0173106
seq0020,baseline,1.3855826,3.9971535
seq0021,baseline,1.3747252,3.9539902
seq0022,baseline,1.3841618,3.9914787
seq0023,baseline,1.3753679,3.9565322
seq0024,baseline,1.3959084,4.0386415
seq0025,baseline,1.3800892,3.975256
seq0026,baseline,1.3879046,4.0064464
seq0027,baseline,1.3947848,4.0341063
seq0028,baseline,1.3780553,3.967179
seq0029,baseline,1.3839066,3.9904602
seq0030,baseline,1.3843753,3.9923315
seq0031,baseline,1.3878614,4.006273
seq0032,baseline,1.3746113,3.9535396
seq0033,baseline,1.3785114,3.9689891
seq0034,baseline,1.3796529,3.9735222
seq0035,baseline,1.391804,4.0220995
seq0036,baseline,1.3755738,3.9573464
seq0037,baseline,1.3918521,4.022293
seq0038,baseline,1.3841696,3.99151
seq0039,baseline,1.3794445,3.9726942
seq0040,baseline,1.3794029,3.972529
seq0041,baseline,1.3902012,4.015658
seq0042,baseline,1.395314,4.0362415
seq0043,baseline,1.3892514,4.0118456
seq0044,baseline,1.3851752,3.9955258
seq0045,baseline,1.3822677,3.9839256
seq0046,baseline,1.3916603,4.0215216
seq0047,baseline,1.3929898,4.026871
seq0048,baseline,1.3764999,3.9610136
seq0049,baseline,1.3826978,3.9856396
seq0050,baseline,1.3840464,3.9910183
seq0051,baseline,1.3887798,4.009954
seq0052,baseline,1.3817122,3.981713
seq0053,baseline,1.3788767,3.970439
seq0054,baseline,1.3862898,3.999982
seq0055,baseline,1.3761524,3.959637
seq0056,baseline,1.3904058,4.0164795
seq0057,baseline,1.3878589,4.006263
seq0058,baseline,1.3841623,3.991481
seq0059,baseline,1.3860208,3.998906
seq0060,baseline,1.3761462,3.9596126
seq0061,baseline,1.3851258,3.995328
seq0062,baseline,1.3844279,3.9925413
seq0063,baseline,1.387291,4.0039883
seq0064,baseline,1.393236,4.027863
seq0065,baseline,1.3880695,4.007107
seq0066,baseline,1.3814229,3.9805615
seq0067,baseline,1.3835126,3.9888885
seq0068,baseline,1.3870889,4.0031796
seq0069,baseline,1.3874135,4.004479
seq0070,baseline,1.3847247,3.9937265
seq0071,baseline,1.3843763,3.992335
seq0072,baseline,1.3873335,4.004159
seq0073,baseline,1.3824377,3.984603
seq0074,baseline,1.3673072,3.9247677
seq0075,baseline,1.3892558,4.011863
seq0076,baseline,1.3981441,4.047681
seq0077,baseline,1.3780421,3.9671268
seq0078,baseline,1.385467,3.9966922
seq0079,baseline,1.3957644,4.0380597
seq0080,baseline,1.3788937,3.9705064
seq0081,baseline,1.3816088,3.9813018
seq0082,baseline,1.3821654,3.9835184
seq0083,baseline,1.3887436,4.009809
seq0084,baseline,1.3767517,3.9620106
seq0085,baseline,1.3859156,3.9984856
seq0086,baseline,1.3765938,3.9613853
seq0087,baseline,1.3877518,4.005834
seq0088,baseline,1.3960373,4.039162
seq0089,baseline,1.3742756,3.9522123
seq0090,baseline,1.3930742,4.027211
seq0091,baseline,1.3845627,3.9930797
seq0092,baseline,1.390613,4.0173116
seq0093,baseline,1.3813121,3.9801207
seq0094,baseline,1.3858376,3.9981732
seq0095,baseline,1.378211,3.967797
seq0096,baseline,1.386219,3.9996989
seq0097,baseline,1.3811809,3.9795983
seq0098,baseline,1.3824147,3.9845111
seq0099,baseline,1.3937583,4.0299673
seq0100,baseline,1.3943818,4.0324802
seq0101,baseline,1.383907,3.9904618
seq0102,baseline,1.3802811,3.976019
seq0103,baseline,1.3900107,4.0148926
seq0104,baseline,1.3806038,3.9773023
seq0105,baseline,1.3788847,3.9704711
seq0106,baseline,1.3855927,3.9971943
seq0107,baseline,1.3842354,3.9917727
seq0108,baseline,1.3913826,4.020405
seq0109,baseline,1.3766811,3.9617312
seq0110,baseline,1.3876797,4.005545
seq0111,baseline,1.3744483,3.952895
seq0112,baseline,1.3863922,4.0003915
seq0113,baseline,1.3885957,4.009216
seq0114,baseline,1.3804727,3.9767807
seq0115,baseline,1.3861115,3.9992685
seq0116,baseline,1.3803458,3.9762762
seq0117,baseline,1.379057,3.9711554
seq0118,baseline,1.3884649,4.008692
seq0119,baseline,1.3870285,4.0029373
seq0120,baseline,1.3890938,4.0112133
seq0121,baseline,1.3895663,4.013109
seq0122,baseline,1.3858919,3.9983904
seq0123,baseline,1.387054,4.00304
seq0124,baseline,1.3833114,3.9880857
seq0125,baseline,1.3873341,4.004161
seq0126,baseline,1.3790804,3.971248
seq0127,baseline,1.3784353,3.9686866
seq0128,baseline,1.3856684,3.997497
seq0129,baseline,1.3923746,4.0243955
seq0130,baseline,1.3824011,3.9844573
seq0131,baseline,1.382113,3.9833095
seq0132,baseline,1.3785187,3.969018
seq0133,baseline,1.3849449,3.9946055
seq0134,baseline,1.3797941,3.9740834
seq0135,baseline,1.369715,3.9342291
seq0136,baseline,1.3872956,4.004007
seq0137,baseline,1.3807862,3.9780276
seq0138,baseline,1.3839353,3.990575
seq0139,baseline,1.3879986,4.006823
seq0140,baseline,1.3821664,3.9835222
seq0141,baseline,1.3896592,4.013482
seq0142,baseline,1.3917444,4.021859
seq0143,baseline,1.3960794,4.0393324
seq0144,baseline,1.388625,4.0093336
seq0145,baseline,1.3833185,3.9881146
