id,label,position_of_motif_A,position_of_motif_B,gaplength,total_deletions_in_sequence,sequence_length
seq0001,B_only,,132.0,,14,150
seq0002,both,35.0,82.0,40.0,0,150
seq0003,A_only,98.0,,,13,150
seq0004,both,61.0,141.0,70.0,10,150
seq0005,both,18.0,45.0,20.0,0,150
seq0006,both,42.0,69.0,20.0,0,150
seq0007,both,12.0,96.0,70.0,12,150
seq0008,both,32.0,127.0,80.0,12,150
seq0009,both,35.0,105.0,60.0,9,150
seq0010,A_only,28.0,,,0,150
seq0011,no_motif,,,,15,150
seq0012,both,37.0,134.0,90.0,0,150
seq0013,B_only,,107.0,,13,150
seq0014,A_only,130.0,,,14,150
seq0015,A_only,13.0,,,14,150
seq0016,both,15.0,54.0,30.0,11,150
seq0017,both,1.0,48.0,40.0,0,150
seq0018,no_motif,,,,0,150
seq0019,A_only,125.0,,,13,150
seq0020,both,31.0,79.0,40.0,10,150
seq0021,A_only,126.0,,,0,150
seq0022,both,31.0,70.0,30.0,12,150
seq0023,B_only,,123.0,,0,150
seq0024,no_motif,,,,0,150
seq0025,A_only,131.0,,,14,150
seq0026,B_only,,57.0,,13,150
seq0027,both,114.0,132.0,10.0,13,150
seq0028,B_only,,65.0,,0,150
seq0029,both,28.0,46.0,10.0,12,150
seq0030,B_only,,58.0,,13,150
seq0031,both,22.0,121.0,90.0,6,150
seq0032,no_motif,,,,15,150
seq0033,both,17.0,67.0,40.0,11,150
seq0034,B_only,,142.0,,15,150
seq0035,A_only,27.0,,,13,150
seq0036,A_only,123.0,,,14,150
seq0037,B_only,,0.0,,14,150
seq0038,B_only,,4.0,,14,150
seq0039,B_only,,15.0,,13,150
seq0040,both,70.0,117.0,40.0,0,150
seq0041,both,48.0,66.0,10.0,12,150
seq0042,A_only,5.0,,,14,150
seq0043,A_only,9.0,,,14,150
seq0044,B_only,,42.0,,14,150
seq0045,no_motif,,,,15,150
seq0046,B_only,,116.0,,13,150
seq0047,B_only,,102.0,,14,150
seq0048,both,69.0,87.0,10.0,12,150
seq0049,A_only,67.0,,,13,150
seq0050,both,6.0,56.0,40.0,12,150
seq0051,both,54.0,114.0,50.0,10,150
seq0052,B_only,,85.0,,0,150
seq0053,both,124.0,142.0,10.0,14,150
