id,position_of_motif_A,position_of_motif_B,gaplength,total_deletions_per_sequence,del_between
seq0002,35.0,82.0,40.0,0,0.0
seq0004,61.0,141.0,70.0,10,3.0
seq0005,18.0,45.0,20.0,0,0.0
seq0006,42.0,69.0,20.0,0,0.0
seq0007,12.0,96.0,70.0,12,7.0
seq0008,32.0,127.0,80.0,12,8.0
seq0009,35.0,105.0,60.0,9,3.0
seq0012,37.0,134.0,90.0,0,0.0
seq0016,15.0,54.0,30.0,11,2.0
seq0017,1.0,48.0,40.0,0,0.0
seq0020,31.0,79.0,40.0,10,1.0
seq0022,31.0,70.0,30.0,12,2.0
seq0027,114.0,132.0,10.0,13,1.0
seq0029,28.0,46.0,10.0,12,1.0
seq0031,22.0,121.0,90.0,6,2.0
seq0033,17.0,67.0,40.0,11,3.0
seq0040,70.0,117.0,40.0,0,0.0
seq0041,48.0,66.0,10.0,12,1.0
seq0048,69.0,87.0,10.0,12,1.0
seq0050,6.0,56.0,40.0,12,3.0
seq0051,54.0,114.0,50.0,10,3.0
seq0053,124.0,142.0,10.0,14,1.0
seq0054,23.0,52.0,20.0,13,2.0
seq0056,20.0,129.0,100.0,5,2.0
seq0057,7.0,109.0,90.0,9,5.0
seq0059,95.0,113.0,10.0,13,1.0
seq0062,25.0,92.0,60.0,0,0.0
seq0063,10.0,68.0,50.0,9,1.0
seq0069,37.0,124.0,80.0,0,0.0
seq0070,8.0,86.0,70.0,7,1.0
seq0072,27.0,132.0,90.0,11,8.0
seq0079,18.0,86.0,60.0,7,1.0
seq0083,21.0,81.0,50.0,11,3.0
seq0084,0.0,102.0,90.0,9,5.0
seq0089,2.0,116.0,100.0,10,7.0
seq0090,3.0,61.0,50.0,10,1.0
seq0091,2.0,40.0,30.0,12,1.0
seq0098,18.0,106.0,80.0,5,1.0
seq0100,4.0,94.0,80.0,8,3.0
seq0101,6.0,45.0,30.0,12,2.0
seq0103,43.0,121.0,70.0,7,1.0
seq0105,6.0,88.0,70.0,11,5.0
seq0107,18.0,106.0,80.0,5,1.0
seq0108,68.0,128.0,50.0,10,3.0
seq0109,23.0,60.0,30.0,0,0.0
seq0113,22.0,80.0,50.0,9,1.0
seq0114,0.0,110.0,100.0,6,3.0
seq0115,38.0,89.0,40.0,12,4.0
seq0118,76.0,114.0,30.0,10,1.0
seq0119,48.0,125.0,70.0,0,0.0
seq0120,22.0,133.0,100.0,7,4.0
seq0130,25.0,131.0,90.0,12,9.0
seq0137,54.0,121.0,60.0,0,0.0
seq0138,19.0,86.0,60.0,0,0.0
seq0145,20.0,126.0,90.0,12,9.0
seq0146,12.0,83.0,60.0,11,4.0
seq0148,2.0,117.0,100.0,11,8.0
seq0149,31.0,104.0,60.0,12,6.0
seq0150,51.0,129.0,70.0,7,1.0
seq0151,70.0,142.0,60.0,13,5.0
seq0153,54.0,81.0,20.0,0,0.0
seq0154,35.0,141.0,90.0,13,9.0
seq0155,78.0,116.0,30.0,10,1.0
seq0156,60.0,78.0,10.0,13,1.0
seq0158,59.0,87.0,20.0,11,1.0
seq0162,91.0,129.0,30.0,11,1.0
seq0163,6.0,109.0,90.0,10,6.0
seq0164,26.0,136.0,100.0,6,3.0
seq0172,5.0,72.0,60.0,0,0.0
seq0174,26.0,93.0,60.0,0,0.0
seq0177,35.0,85.0,40.0,11,3.0
seq0178,13.0,41.0,20.0,12,1.0
seq0179,36.0,85.0,40.0,10,2.0
seq0180,3.0,80.0,70.0,0,0.0
seq0182,21.0,50.0,20.0,13,2.0
seq0183,12.0,30.0,10.0,13,1.0
seq0184,85.0,124.0,30.0,11,2.0
seq0187,5.0,114.0,100.0,5,2.0
seq0189,27.0,124.0,90.0,0,0.0
seq0191,57.0,75.0,10.0,12,1.0
seq0193,76.0,104.0,20.0,11,1.0
seq0196,15.0,95.0,70.0,8,3.0
seq0197,94.0,112.0,10.0,13,1.0
seq0198,20.0,122.0,90.0,9,5.0
seq0199,49.0,116.0,60.0,0,0.0
seq0201,121.0,138.0,10.0,0,0.0
seq0203,29.0,46.0,10.0,0,0.0
seq0207,30.0,92.0,50.0,13,5.0
seq0209,6.0,54.0,40.0,10,1.0
seq0210,35.0,117.0,70.0,10,5.0
seq0212,28.0,55.0,20.0,0,0.0
seq0213,86.0,103.0,10.0,0,0.0
seq0214,62.0,135.0,60.0,13,6.0
seq0215,4.0,87.0,70.0,12,6.0
seq0219,118.0,136.0,10.0,13,1.0
seq0221,4.0,118.0,100.0,10,7.0
seq0223,23.0,41.0,10.0,13,1.0
seq0225,62.0,135.0,60.0,13,6.0
seq0228,19.0,129.0,100.0,5,3.0
seq0229,13.0,81.0,60.0,8,1.0
seq0230,20.0,108.0,80.0,6,1.0
seq0232,18.0,95.0,70.0,0,0.0
seq0233,80.0,119.0,30.0,12,2.0
seq0234,73.0,140.0,60.0,0,0.0
seq0235,37.0,98.0,50.0,11,4.0
seq0237,16.0,67.0,40.0,12,4.0
seq0238,18.0,126.0,100.0,3,1.0
seq0244,24.0,122.0,90.0,5,1.0
seq0246,32.0,138.0,90.0,13,9.0
seq0247,55.0,122.0,60.0,0,0.0
seq0255,3.0,100.0,90.0,0,0.0
seq0260,8.0,125.0,100.0,12,10.0
seq0261,41.0,81.0,30.0,13,3.0
seq0262,37.0,66.0,20.0,12,2.0
seq0263,9.0,37.0,20.0,12,1.0
seq0266,105.0,143.0,30.0,11,1.0
seq0271,60.0,97.0,30.0,0,0.0
seq0272,30.0,127.0,90.0,0,0.0
seq0273,29.0,116.0,80.0,0,0.0
seq0277,39.0,76.0,30.0,0,0.0
seq0278,68.0,127.0,50.0,9,2.0
seq0279,67.0,136.0,60.0,9,2.0
seq0284,7.0,97.0,80.0,8,3.0
seq0286,91.0,131.0,30.0,13,3.0
seq0287,32.0,109.0,70.0,0,0.0
seq0293,62.0,113.0,40.0,13,4.0
seq0295,99.0,116.0,10.0,0,0.0
seq0296,13.0,107.0,80.0,11,7.0
seq0297,57.0,129.0,60.0,11,5.0
seq0298,14.0,83.0,60.0,9,2.0
seq0300,18.0,111.0,80.0,10,6.0
seq0301,27.0,74.0,40.0,0,0.0
seq0303,10.0,68.0,50.0,9,1.0
seq0306,92.0,142.0,40.0,13,3.0
seq0307,77.0,134.0,50.0,0,0.0
seq0308,22.0,93.0,60.0,11,4.0
seq0311,72.0,131.0,50.0,10,2.0
seq0313,10.0,118.0,100.0,4,1.0
seq0314,14.0,126.0,100.0,7,5.0
seq0315,18.0,77.0,50.0,9,2.0
seq0321,44.0,117.0,60.0,12,6.0
seq0323,120.0,138.0,10.0,14,1.0
seq0324,84.0,123.0,30.0,12,2.0
seq0326,38.0,125.0,80.0,0,0.0
seq0327,19.0,56.0,30.0,0,0.0
seq0329,63.0,103.0,30.0,13,3.0
seq0336,4.0,76.0,60.0,12,5.0
seq0338,27.0,118.0,80.0,8,4.0
seq0339,0.0,93.0,80.0,11,6.0
seq0343,96.0,136.0,30.0,13,3.0
seq0346,52.0,80.0,20.0,12,1.0
seq0348,125.0,143.0,10.0,13,1.0
seq0353,19.0,48.0,20.0,12,2.0
seq0354,42.0,139.0,90.0,0,0.0
seq0355,94.0,134.0,30.0,13,3.0
seq0357,10.0,125.0,100.0,10,8.0
seq0358,50.0,119.0,60.0,9,2.0
seq0359,5.0,118.0,100.0,9,6.0
seq0360,21.0,109.0,80.0,6,1.0
seq0361,39.0,90.0,40.0,12,4.0
seq0362,53.0,133.0,70.0,9,3.0
seq0366,107.0,136.0,20.0,13,2.0
seq0368,49.0,87.0,30.0,10,1.0
seq0369,14.0,118.0,90.0,10,7.0
seq0370,14.0,53.0,30.0,12,2.0
seq0372,84.0,143.0,50.0,10,2.0
seq0378,72.0,110.0,30.0,11,1.0
seq0379,14.0,121.0,100.0,0,0.0
seq0385,29.0,99.0,60.0,9,3.0
seq0386,75.0,122.0,40.0,0,0.0
seq0388,51.0,80.0,20.0,13,2.0
seq0390,47.0,137.0,80.0,8,3.0
seq0393,11.0,101.0,80.0,8,3.0
seq0394,101.0,140.0,30.0,13,2.0
seq0396,22.0,49.0,20.0,0,0.0
seq0397,41.0,125.0,70.0,12,7.0
seq0399,31.0,128.0,90.0,0,0.0
seq0401,29.0,47.0,10.0,12,1.0
seq0403,12.0,109.0,90.0,0,0.0
seq0406,101.0,140.0,30.0,13,2.0
seq0410,56.0,143.0,80.0,0,0.0
seq0413,114.0,132.0,10.0,13,1.0
seq0414,7.0,77.0,60.0,10,3.0
seq0415,0.0,112.0,100.0,8,5.0
seq0416,14.0,32.0,10.0,13,1.0
seq0419,20.0,87.0,60.0,0,0.0
seq0420,94.0,134.0,30.0,13,3.0
seq0421,72.0,111.0,30.0,12,2.0
seq0425,73.0,134.0,50.0,12,4.0
seq0429,39.0,118.0,70.0,7,2.0
seq0432,83.0,101.0,10.0,13,1.0
seq0433,72.0,112.0,30.0,13,3.0
seq0436,30.0,92.0,50.0,13,5.0
seq0437,49.0,67.0,10.0,12,1.0
seq0439,84.0,134.0,40.0,12,3.0
seq0440,59.0,137.0,70.0,7,1.0
seq0442,12.0,60.0,40.0,10,1.0
seq0444,12.0,59.0,40.0,0,0.0
seq0447,46.0,133.0,80.0,0,0.0
seq0448,18.0,129.0,100.0,6,4.0
seq0449,10.0,112.0,90.0,9,5.0
seq0450,57.0,128.0,60.0,10,4.0
seq0451,88.0,136.0,40.0,10,1.0
seq0455,37.0,84.0,40.0,0,0.0
seq0458,14.0,53.0,30.0,12,2.0
seq0459,18.0,115.0,90.0,0,0.0
seq0461,12.0,29.0,10.0,0,0.0
seq0462,77.0,114.0,30.0,0,0.0
seq0466,32.0,80.0,40.0,10,1.0
seq0468,21.0,90.0,60.0,9,2.0
seq0469,35.0,53.0,10.0,13,1.0
seq0472,15.0,104.0,80.0,6,2.0
seq0474,0.0,99.0,90.0,6,2.0
seq0476,0.0,87.0,80.0,0,0.0
seq0481,11.0,114.0,90.0,9,6.0
seq0484,28.0,76.0,40.0,9,1.0
seq0485,27.0,131.0,90.0,10,7.0
seq0487,14.0,93.0,70.0,8,2.0
seq0495,19.0,87.0,60.0,7,1.0
seq0497,6.0,65.0,50.0,10,2.0
seq0498,105.0,123.0,10.0,13,1.0
seq0499,19.0,132.0,100.0,8,6.0
seq0501,24.0,131.0,100.0,0,0.0
seq0502,10.0,119.0,100.0,5,2.0
seq0505,49.0,107.0,50.0,8,1.0
seq0507,34.0,128.0,80.0,11,7.0
seq0509,7.0,34.0,20.0,0,0.0
seq0512,47.0,114.0,60.0,0,0.0
seq0513,68.0,108.0,30.0,12,3.0
seq0514,9.0,119.0,100.0,6,3.0
seq0516,55.0,73.0,10.0,13,1.0
seq0517,58.0,125.0,60.0,0,0.0
seq0523,0.0,101.0,90.0,8,4.0
seq0524,59.0,98.0,30.0,11,2.0
seq0525,19.0,117.0,90.0,4,1.0
seq0534,83.0,101.0,10.0,13,1.0
seq0537,57.0,106.0,40.0,10,2.0
seq0539,57.0,140.0,70.0,12,6.0
seq0540,39.0,77.0,30.0,10,1.0
seq0541,42.0,111.0,60.0,9,2.0
seq0542,21.0,121.0,90.0,7,3.0
seq0543,62.0,132.0,60.0,10,3.0
seq0544,30.0,121.0,80.0,9,4.0
seq0545,115.0,143.0,20.0,12,1.0
seq0547,2.0,20.0,10.0,14,1.0
seq0559,27.0,136.0,100.0,5,2.0
seq0562,53.0,115.0,50.0,12,5.0
seq0563,69.0,127.0,50.0,8,1.0
seq0564,41.0,132.0,80.0,9,4.0
seq0565,79.0,128.0,40.0,10,2.0
seq0568,39.0,96.0,50.0,0,0.0
seq0571,4.0,81.0,70.0,0,0.0
seq0574,20.0,90.0,60.0,10,3.0
seq0576,41.0,68.0,20.0,0,0.0
seq0578,68.0,135.0,60.0,0,0.0
seq0582,2.0,39.0,30.0,0,0.0
seq0583,0.0,103.0,90.0,10,6.0
seq0584,45.0,123.0,70.0,7,1.0
seq0585,0.0,92.0,80.0,10,5.0
seq0586,16.0,86.0,60.0,9,3.0
seq0588,38.0,126.0,80.0,5,1.0
seq0592,20.0,117.0,90.0,0,0.0
seq0593,55.0,143.0,80.0,6,1.0
seq0599,14.0,121.0,100.0,0,0.0
seq0601,14.0,129.0,100.0,10,8.0
seq0602,6.0,106.0,90.0,7,3.0
seq0604,15.0,63.0,40.0,10,1.0
seq0605,8.0,122.0,100.0,10,7.0
seq0609,9.0,26.0,10.0,0,0.0
seq0610,7.0,47.0,30.0,13,3.0
seq0612,60.0,119.0,50.0,10,2.0
seq0619,38.0,127.0,80.0,6,2.0
seq0620,0.0,37.0,30.0,0,0.0
seq0625,17.0,127.0,100.0,5,3.0
seq0628,44.0,73.0,20.0,13,2.0
seq0630,20.0,99.0,70.0,8,2.0
seq0632,14.0,83.0,60.0,9,2.0
seq0634,47.0,140.0,80.0,11,6.0
seq0640,14.0,125.0,100.0,6,4.0
seq0642,32.0,139.0,100.0,0,0.0
seq0643,4.0,118.0,100.0,10,7.0
seq0644,37.0,130.0,80.0,10,6.0
seq0645,14.0,71.0,50.0,0,0.0
seq0649,17.0,68.0,40.0,12,4.0
seq0651,14.0,41.0,20.0,0,0.0
seq0652,6.0,101.0,80.0,13,8.0
seq0654,27.0,76.0,40.0,10,2.0
seq0656,12.0,121.0,100.0,5,2.0
seq0657,27.0,55.0,20.0,11,1.0
seq0659,62.0,100.0,30.0,11,1.0
seq0660,21.0,116.0,80.0,12,8.0
seq0662,18.0,98.0,70.0,8,3.0
seq0663,57.0,116.0,50.0,9,2.0
seq0664,40.0,58.0,10.0,13,1.0
seq0666,12.0,49.0,30.0,0,0.0
seq0667,46.0,63.0,10.0,0,0.0
seq0668,107.0,125.0,10.0,12,1.0
seq0669,109.0,137.0,20.0,12,1.0
seq0670,84.0,111.0,20.0,0,0.0
seq0673,112.0,140.0,20.0,13,1.0
seq0675,17.0,124.0,100.0,0,0.0
seq0677,29.0,143.0,100.0,9,7.0
seq0680,21.0,118.0,90.0,0,0.0
seq0681,33.0,103.0,60.0,10,3.0
seq0687,1.0,30.0,20.0,14,2.0
seq0690,97.0,137.0,30.0,13,3.0
seq0696,26.0,140.0,100.0,10,7.0
seq0704,99.0,127.0,20.0,11,1.0
seq0705,21.0,129.0,100.0,4,1.0
seq0709,51.0,101.0,40.0,12,3.0
seq0710,12.0,121.0,100.0,5,2.0
seq0712,5.0,85.0,70.0,9,3.0
seq0715,75.0,104.0,20.0,12,2.0
seq0716,52.0,114.0,50.0,12,5.0
seq0717,25.0,132.0,100.0,0,0.0
seq0719,77.0,94.0,10.0,0,0.0
seq0720,11.0,73.0,50.0,13,5.0
seq0721,34.0,52.0,10.0,13,1.0
seq0722,76.0,116.0,30.0,12,3.0
seq0726,50.0,112.0,50.0,13,5.0
seq0727,3.0,98.0,80.0,13,8.0
seq0733,46.0,138.0,80.0,10,5.0
seq0735,62.0,124.0,50.0,12,5.0
seq0736,33.0,104.0,60.0,10,4.0
seq0737,16.0,33.0,10.0,0,0.0
seq0740,1.0,74.0,60.0,13,6.0
seq0744,10.0,105.0,80.0,12,8.0
seq0748,63.0,81.0,10.0,13,1.0
seq0749,79.0,119.0,30.0,12,3.0
seq0751,39.0,96.0,50.0,0,0.0
seq0753,5.0,45.0,30.0,13,3.0
seq0756,35.0,53.0,10.0,13,1.0
seq0759,71.0,111.0,30.0,13,3.0
seq0765,10.0,104.0,80.0,11,7.0
seq0766,62.0,90.0,20.0,12,1.0
seq0767,37.0,107.0,60.0,9,3.0
seq0768,41.0,118.0,70.0,0,0.0
seq0770,31.0,60.0,20.0,13,2.0
seq0773,52.0,114.0,50.0,12,5.0
seq0775,72.0,112.0,30.0,13,3.0
seq0776,37.0,76.0,30.0,11,2.0
seq0778,8.0,75.0,60.0,0,0.0
seq0781,78.0,138.0,50.0,11,3.0
seq0783,79.0,107.0,20.0,11,1.0
seq0790,72.0,112.0,30.0,13,3.0
seq0792,91.0,108.0,10.0,0,0.0
seq0793,112.0,130.0,10.0,13,1.0
seq0796,45.0,63.0,10.0,13,1.0
seq0797,40.0,99.0,50.0,10,2.0
seq0798,34.0,104.0,60.0,9,3.0
seq0799,83.0,110.0,20.0,0,0.0
seq0803,52.0,80.0,20.0,12,1.0
seq0806,83.0,133.0,40.0,12,3.0
seq0808,76.0,125.0,40.0,10,2.0
seq0813,60.0,78.0,10.0,13,1.0
seq0816,9.0,90.0,70.0,10,4.0
seq0817,106.0,143.0,30.0,0,0.0
seq0819,33.0,93.0,50.0,11,3.0
seq0821,6.0,110.0,90.0,11,7.0
seq0828,22.0,109.0,80.0,0,0.0
seq0830,69.0,118.0,40.0,10,2.0
seq0834,17.0,55.0,30.0,10,1.0
seq0835,61.0,99.0,30.0,11,1.0
seq0838,5.0,112.0,100.0,0,0.0
seq0841,32.0,139.0,100.0,0,0.0
seq0842,27.0,105.0,70.0,6,1.0
seq0843,58.0,106.0,40.0,9,1.0
seq0845,4.0,121.0,100.0,13,10.0
seq0850,5.0,56.0,40.0,13,4.0
seq0854,26.0,138.0,100.0,8,5.0
seq0857,5.0,23.0,10.0,14,1.0
seq0861,22.0,40.0,10.0,13,1.0
seq0864,26.0,103.0,70.0,0,0.0
seq0865,62.0,133.0,60.0,11,4.0
seq0867,21.0,38.0,10.0,0,0.0
seq0870,12.0,127.0,100.0,10,8.0
seq0872,11.0,68.0,50.0,0,0.0
seq0878,3.0,90.0,80.0,0,0.0
seq0881,36.0,129.0,80.0,10,6.0
seq0882,56.0,84.0,20.0,11,1.0
seq0886,60.0,142.0,70.0,12,5.0
seq0889,65.0,92.0,20.0,0,0.0
seq0891,26.0,116.0,80.0,7,3.0
seq0895,20.0,70.0,40.0,12,3.0
seq0896,6.0,83.0,70.0,0,0.0
seq0897,42.0,93.0,40.0,13,4.0
seq0901,55.0,72.0,10.0,0,0.0
seq0902,35.0,63.0,20.0,12,1.0
seq0908,7.0,121.0,100.0,10,7.0
seq0909,41.0,78.0,30.0,0,0.0
seq0911,11.0,115.0,90.0,10,7.0
seq0912,47.0,140.0,80.0,11,6.0
seq0914,0.0,68.0,60.0,8,1.0
seq0916,2.0,95.0,80.0,11,6.0
seq0918,23.0,92.0,60.0,9,2.0
seq0920,49.0,99.0,40.0,11,3.0
seq0921,97.0,115.0,10.0,12,1.0
seq0924,40.0,58.0,10.0,13,1.0
seq0933,62.0,102.0,30.0,13,3.0
seq0935,5.0,75.0,60.0,10,3.0
seq0936,21.0,116.0,80.0,12,8.0
seq0938,31.0,103.0,60.0,12,5.0
seq0941,27.0,135.0,100.0,4,1.0
seq0943,26.0,66.0,30.0,12,3.0
seq0944,75.0,92.0,10.0,0,0.0
seq0945,4.0,86.0,70.0,11,5.0
seq0946,9.0,114.0,90.0,11,8.0
seq0949,54.0,141.0,80.0,0,0.0
seq0951,11.0,98.0,80.0,0,0.0
seq0952,11.0,60.0,40.0,11,2.0
seq0954,44.0,61.0,10.0,0,0.0
seq0955,34.0,143.0,100.0,5,2.0
seq0957,16.0,86.0,60.0,9,3.0
seq0959,20.0,134.0,100.0,10,7.0
seq0960,33.0,130.0,90.0,0,0.0
seq0961,73.0,120.0,40.0,0,0.0
seq0962,13.0,91.0,70.0,7,1.0
seq0967,102.0,141.0,30.0,13,2.0
seq0969,56.0,143.0,80.0,0,0.0
