seq_id,bucket,label,alt_both_mode
seq01150,A_only,A_only,
seq06203,A_only,A_only,
seq02199,A_only,A_only,
seq00217,A_only,A_only,
seq00152,A_only,A_only,
seq06585,A_only,A_only,
seq08874,A_only,A_only,
seq05361,A_only,A_only,
seq07372,A_only,A_only,
seq06834,A_only,A_only,
seq06420,A_only,A_only,
seq04843,A_only,A_only,
seq06581,A_only,A_only,
seq00390,A_only,A_only,
seq04101,A_only,A_only,
seq02230,A_only,A_only,
seq01141,A_only,A_only,
seq09718,A_only,A_only,
seq08943,A_only,A_only,
seq07801,A_only,A_only,
seq08564,A_only,A_only,
seq05516,A_only,A_only,
seq04318,A_only,A_only,
seq06777,A_only,A_only,
seq07961,A_only,A_only,
seq06798,A_only,A_only,
seq07379,A_only,A_only,
seq04382,A_only,A_only,
seq07834,A_only,A_only,
seq08210,A_only,A_only,
seq06241,A_only,A_only,
seq03477,A_only,A_only,
seq01481,A_only,A_only,
seq05084,A_only,A_only,
seq09617,A_only,A_only,
seq07227,A_only,A_only,
seq05420,A_only,A_only,
seq04921,A_only,A_only,
seq04907,A_only,A_only,
seq04268,A_only,A_only,
seq00041,A_only,A_only,
seq00542,A_only,A_only,
seq02589,A_only,A_only,
seq01998,A_only,A_only,
seq07335,A_only,A_only,
seq01625,A_only,A_only,
seq07759,A_only,A_only,
seq04358,A_only,A_only,
seq03659,A_only,A_only,
seq09896,A_only,A_only,
seq00888,A_only,A_only,
seq00335,A_only,A_only,
seq05401,A_only,A_only,
seq03962,A_only,A_only,
seq03064,A_only,A_only,
seq03065,A_only,A_only,
seq02546,A_only,A_only,
seq06057,A_only,A_only,
seq09654,A_only,A_only,
seq07899,A_only,A_only,
seq01884,A_only,A_only,
seq02325,A_only,A_only,
seq09181,A_only,A_only,
seq06178,A_only,A_only,
seq04434,A_only,A_only,
seq01311,B_only,B_only,
seq06675,B_only,B_only,
seq02458,B_only,B_only,
seq01571,B_only,B_only,
seq02065,B_only,B_only,
seq02517,B_only,B_only,
seq03711,B_only,B_only,
seq04155,B_only,B_only,
seq02666,B_only,B_only,
seq06695,B_only,B_only,
seq05354,B_only,B_only,
seq08701,B_only,B_only,
seq07505,B_only,B_only,
seq02196,B_only,B_only,
seq07851,B_only,B_only,
seq09984,B_only,B_only,
seq00177,B_only,B_only,
seq00879,B_only,B_only,
seq07364,B_only,B_only,
seq09930,B_only,B_only,
seq04477,B_only,B_only,
seq05047,B_only,B_only,
seq08537,B_only,B_only,
seq02372,B_only,B_only,
seq09983,B_only,B_only,
seq06107,B_only,B_only,
seq02870,B_only,B_only,
seq01371,B_only,B_only,
seq02972,B_only,B_only,
seq02217,B_only,B_only,
seq01180,B_only,B_only,
seq04705,B_only,B_only,
seq00024,B_only,B_only,
seq07152,B_only,B_only,
seq03940,B_only,B_only,
seq08747,B_only,B_only,
seq01404,B_only,B_only,
seq02435,B_only,B_only,
seq08131,B_only,B_only,
seq06782,B_only,B_only,
seq01025,B_only,B_only,
seq03139,B_only,B_only,
seq04504,B_only,B_only,
seq05765,B_only,B_only,
seq09110,B_only,B_only,
seq00664,B_only,B_only,
seq00371,B_only,B_only,
seq05443,both_flanks,both,flanks_only
seq01732,both_flanks,both,flanks_only
seq07787,both_flanks,both,flanks_only
seq03002,both_flanks,both,flanks_only
seq04022,both_flanks,both,flanks_only
seq06099,both_flanks,both,flanks_only
seq01658,both_flanks,both,flanks_only
seq02840,both_flanks,both,flanks_only
seq07567,both_flanks,both,flanks_only
seq08905,both_flanks,both,flanks_only
seq08006,both_flanks,both,flanks_only
seq01699,both_flanks,both,flanks_only
seq06246,both_flanks,both,flanks_only
seq08528,both_flanks,both,flanks_only
seq09465,both_flanks,both,flanks_only
seq06149,both_flanks,both,flanks_only
seq07117,both_flanks,both,flanks_only
seq05582,both_flanks,both,flanks_only
seq02862,both_flanks,both,full_bg
seq01377,both_flanks,both,flanks_only
seq01320,both_flanks,both,flanks_only
seq06295,both_flanks,both,flanks_only
seq08217,both_flanks,both,flanks_only
seq02774,both_flanks,both,flanks_only
seq02640,both_flanks,both,flanks_only
seq09671,both_flanks,both,flanks_only
seq05720,both_flanks,both,flanks_only
seq03163,both_flanks,both,flanks_only
seq00463,both_flanks,both,flanks_only
seq00201,both_flanks,both,flanks_only
seq08870,both_flanks,both,flanks_only
seq02560,both_flanks,both,flanks_only
seq04795,both_flanks,both,flanks_only
seq00595,both_flanks,both,flanks_only
seq02927,both_flanks,both,flanks_only
seq03038,both_flanks,both,flanks_only
seq00148,both_flanks,both,flanks_only
seq02583,both_flanks,both,flanks_only
seq07050,both_flanks,both,flanks_only
seq04501,both_flanks,both,flanks_only
seq03894,both_flanks,both,flanks_only
seq04989,both_flanks,both,full_bg
seq02440,both_flanks,both,flanks_only
seq01357,both_flanks,both,flanks_only
seq00137,both_flanks,both,flanks_only
seq00307,both_flanks,both,flanks_only
seq09063,both_flanks,both,flanks_only
seq02982,both_flanks,both,flanks_only
seq01956,both_flanks,both,flanks_only
seq06164,both_flanks,both,flanks_only
seq04803,both_flanks,both,flanks_only
seq01473,both_flanks,both,flanks_only
seq03404,both_flanks,both,flanks_only
seq04182,both_flanks,both,flanks_only
seq09278,both_flanks,both,flanks_only
seq00592,both_flanks,both,flanks_only
seq05931,both_flanks,both,flanks_only
seq09972,both_flanks,both,flanks_only
seq07036,both_flanks,both,flanks_only
seq01213,both_flanks,both,flanks_only
seq09065,both_flanks,both,flanks_only
seq04693,both_flanks,both,flanks_only
seq02457,both_flanks,both,full_bg
seq02566,both_flanks,both,flanks_only
seq02110,both_flanks,both,flanks_only
seq03457,both_flanks,both,flanks_only
seq03592,both_flanks,both,flanks_only
seq03120,both_flanks,both,flanks_only
seq09534,both_flanks,both,flanks_only
seq06799,both_flanks,both,flanks_only
seq04913,both_flanks,both,flanks_only
seq05191,both_flanks,both,flanks_only
seq01607,both_flanks,both,flanks_only
seq02317,both_flanks,both,flanks_only
seq08348,both_flanks,both,flanks_only
seq06495,both_flanks,both,flanks_only
seq00616,both_flanks,both,flanks_only
seq03735,both_flanks,both,flanks_only
seq01638,both_flanks,both,flanks_only
seq03231,both_flanks,both,flanks_only
seq08849,both_flanks,both,flanks_only
seq03603,both_flanks,both,flanks_only
seq08198,both_flanks,both,flanks_only
seq07348,both_flanks,both,flanks_only
seq04629,both_flanks,both,flanks_only
seq04137,both_flanks,both,flanks_only
seq08816,both_flanks,both,full_bg
seq01143,both_flanks,both,flanks_only
seq00673,both_flanks,both,flanks_only
seq04177,both_flanks,both,flanks_only
seq08277,both_flanks,both,flanks_only
seq09532,both_flanks,both,flanks_only
seq00656,both_flanks,both,flanks_only
seq07996,both_flanks,both,flanks_only
seq09473,both_flanks,both,flanks_only
seq00063,both_flanks,both,flanks_only
seq05469,both_flanks,both,flanks_only
seq04329,both_flanks,both,flanks_only
seq05870,both_flanks,both,flanks_only
seq05680,both_flanks,both,flanks_only
seq04847,both_between,both,flanks_only
seq06685,both_between,both,flanks_only
seq09108,both_between,both,flanks_only
seq03490,both_between,both,flanks_only
seq02001,both_between,both,flanks_only
